Company Name,Company Ratings,Services,Advantage_DisAdv,Details
Udaan,4.0,Internet | 1k-5k Employees | Indian Unicorn | 7 years old | Bangalore +329 more,"['Salary & Benefits, Skill Development / Learning, Work Life Balance']","['5k Reviews', '18.8k Salaries', '281 Interviews', '291 Jobs', '752 Benefits', '8 Photos']"
Indian Army,4.7,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +302 more,"['Job Security, Company Culture, Work Satisfaction']","['4.9k Reviews', '10.5k Salaries', '101 Interviews', '-- Jobs', '721 Benefits', '-- Photos']"
Bajaj Finance,4.0,NBFC | 10k-50k Employees | 36 years old | Pune +705 more,"['Salary & Benefits, Skill Development / Learning, Job Security']","['4.9k Reviews', '18.6k Salaries', '198 Interviews', '77 Jobs', '483 Benefits', '-- Photos']"
L&T Infotech,3.8,IT Services & Consulting | 10k-50k Employees | Public | 27 years old | Mumbai +74 more,['Job Security'],"['4.8k Reviews', '67.1k Salaries', '371 Interviews', '138 Jobs', '809 Benefits', '5 Photos']"
Zydus Lifesciences,4.1,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +138 more,"['Job Security, Skill Development / Learning, Salary & Benefits']","['4.8k Reviews', '16.6k Salaries', '192 Interviews', '54 Jobs', '594 Benefits', '20 Photos']"
ITC,3.9,FMCG | 10k-50k Employees | Public | 48 years old | Kolkata +278 more,"['Job Security, Skill Development / Learning']","['4.7k Reviews', '21.8k Salaries', '355 Interviews', '66 Jobs', '683 Benefits', '7 Photos']"
AU Small Finance Bank,4.1,Banking | 10k-50k Employees | Fortune India 500 | 27 years old | Jaipur +345 more,"['Skill Development / Learning, Job Security, Salary & Benefits']","['4.7k Reviews', '16.8k Salaries', '252 Interviews', '166 Jobs', '422 Benefits', '4 Photos']"
Wells Fargo,4.1,Banking | 10k-50k Employees | Public | 171 years old | San Francisco +19 more,"['Job Security, Work Life Balance, Company Culture']","['4.6k Reviews', '39.5k Salaries', '286 Interviews', '160 Jobs', '849 Benefits', '9 Photos']"
JP Morgan Chase,4.2,Financial Services | 10k-50k Employees | Forbes Global 2000 | 23 years old | New York +32 more,"['Job Security, Company Culture, Skill Development / Learning']","['4.6k Reviews', '59.1k Salaries', '363 Interviews', '1.1k Jobs', '839 Benefits', '14 Photos']"
Delhivery,4.0,10k-50k Employees | Fortune India 500 | 12 years old | Delhi +565 more,['Skill Development / Learning'],"['4.6k Reviews', '15.9k Salaries', '269 Interviews', '423 Jobs', '637 Benefits', '11 Photos']"
